Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,combined_text
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000.0,aws fundamentals migrating to the cloud amazon web services course intermediate
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600.0,aboriginal worldviews and education university of toronto course mixed
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000.0,academic english writing university of california irvine specialization beginner
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000.0,accelerated computer science fundamentals university of illinois at urbanachampaign specialization intermediate
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2900.0,access controls isc course beginner
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000.0,accounting analytics university of pennsylvania course mixed
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900.0,accounting for decision making university of michigan course intermediate
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000.0,achieving personal and professional success university of pennsylvania specialization beginner
838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000.0,actualizacin en el manejo del paciente con diabetes mellitus tipo  universidad nacional autnoma de mxico course mixed
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200.0,addiction treatment clinical skills for healthcare providers yale university course beginner
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78000.0,advanced business analytics university of colorado boulder specialization intermediate
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320000.0,advanced data science with ibm ibm specialization advanced
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190000.0,advanced machine learning national research university higher school of economics specialization advanced
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000.0,advanced machine learning with tensorflow on google cloud platform google cloud specialization advanced
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000.0,advanced valuation and strategy  ma private equity and venture capital erasmus university rotterdam course advanced
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14000.0,advertising and society duke university course mixed
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000.0,age of cathedrals yale university course beginner
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94000.0,agile development university of virginia specialization beginner
482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69000.0,agile meets design thinking university of virginia course beginner
212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40000.0,agile with atlassian jira atlassian course beginner
846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12000.0,agile  scrum       scrumtrek course beginner
561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220000.0,algorithmic toolbox university of california san diego course intermediate
78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150000.0,algorithms stanford university specialization intermediate
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14000.0,algorithms for battery management systems university of colorado system specialization intermediate
322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18000.0,american contract law i yale university course beginner
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000.0,an introduction to american law university of pennsylvania course beginner
265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69000.0,an introduction to consumer neuroscience  neuromarketing copenhagen business school course beginner
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270000.0,an introduction to programming the internet of things iot university of california irvine specialization beginner
752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7900.0,analysing numeric and digital literacies macquarie university specialization beginner
119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30000.0,anatomy university of michigan specialization beginner
302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36000.0,anatomy of the chest abdomen and pelvis yale university course intermediate
508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20000.0,anatomy musculoskeletal and integumentary systems university of michigan course beginner
797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8100.0,ancient philosophy aristotle and his successors university of pennsylvania course mixed
390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120000.0,android app development vanderbilt university specialization beginner
201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71000.0,animal behaviour and welfare the university of edinburgh course mixed
663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11000.0,antibiotic stewardship stanford university course advanced
514,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11000.0,anticorrupcin introduccin a conceptos y perspectiva prctica universidad nacional autnoma de mxico course beginner
799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63000.0,antimicrobial resistance  theory and methods technical university of denmark dtu course intermediate
8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220000.0,applied data science ibm specialization beginner
637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42000.0,applied data science capstone ibm course intermediate
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480000.0,applied data science with python university of michigan specialization intermediate
630,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150000.0,applied machine learning in python university of michigan course intermediate
491,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97000.0,applied plotting charting  data representation in python university of michigan course intermediate
888,Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6600.0,aprende a programar con python universidad austral specialization beginner
512,Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200000.0,aprender universidad nacional autnoma de mxico course mixed
551,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180000.0,aprendiendo a aprender poderosas herramientas mentales con las que podrs dominar temas difciles learning how to learn university of california san diego course beginner
437,Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4200.0,architecting with google cloud platform  google cloud specialization intermediate
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310000.0,architecting with google compute engine google cloud specialization intermediate
573,Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3900.0,architecting with google kubernetes engine  google cloud specialization beginner
56,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150000.0,arizona state university tesol arizona state university professional certificate beginner
479,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79000.0,art  activity interactive strategies for engaging with art the museum of modern art course mixed
452,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31000.0,art  ideas teaching with themes the museum of modern art course mixed
651,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15000.0,arts and culture strategy national arts strategies course mixed
326,Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15000.0,arts and heritage management universit bocconi course mixed
877,Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10000.0,aspectos bsicos de la planificacin y la gestin de proyectos university of virginia course beginner
753,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66000.0,astrobiology and the search for extraterrestrial life the university of edinburgh course mixed
782,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33000.0,atencin primaria en salud el desafo de las enfermedades no transmisibles pontificia universidad catlica de chile course intermediate
210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56000.0,autism spectrum disorder university of california davis course mixed
885,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7300.0,autodesk cadcam for manufacturing autodesk specialization intermediate
468,Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9200.0,autodesk cadcamcae for mechanical engineering autodesk specialization intermediate
702,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22000.0,autodesk certified professional autocad for design and drafting exam prep autodesk course advanced
590,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9700.0,autodesk certified professional revit for architectural design exam prep autodesk course advanced
816,BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13000.0,bim fundamentals for engineers national taiwan university course beginner
642,Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180000.0,basic statistics university of amsterdam course beginner
493,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91000.0,bayesian statistics from concept to data analysis university of california santa cruz course intermediate
602,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29000.0,bayesian statistics techniques and models university of california santa cruz course intermediate
106,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210000.0,become a cbrs certified professional installer by google google  spectrum sharing course mixed
294,Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28000.0,become a journalist report the news michigan state university specialization beginner
809,Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4200.0,become a sustainable business change agent university of colorado system specialization intermediate
776,Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6500.0,becoming a sports agent case western reserve university course beginner
672,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61000.0,becoming a changemaker introduction to social innovation university of cape town course beginner
269,Behavioral Finance,Duke University,COURSE,4.4,Mixed,55000.0,behavioral finance duke university course mixed
456,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2300.0,beyond the sustainable development goals sdgs addressing sustainability and development university of michigan course mixed
498,Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8800.0,big data  introduccin al uso prctico de datos masivos universitat autnoma de barcelona specialization beginner
687,Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35000.0,biohacking your brains health emory university course beginner
565,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88000.0,biology meets programming bioinformatics for beginners university of california san diego course beginner
131,Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14000.0,biostatistics in public health johns hopkins university specialization beginner
751,Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1900.0,blended language learning design and practice for teachers university of colorado boulder course intermediate
251,Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68000.0,blockchain university at buffalo specialization intermediate
143,Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21000.0,blockchain revolution insead specialization beginner
462,Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1600.0,blockchain revolution in financial services insead specialization beginner
719,Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31000.0,blockchain foundations and use cases consensys academy course beginner
645,Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9500.0,boosting creativity for innovation hec paris course beginner
72,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57000.0,brand management aligning business brand and behaviour london business school course beginner
238,Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26000.0,branding the creative journey ie business school specialization beginner
486,Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84000.0,budgeting and scheduling projects university of california irvine course mixed
688,Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15000.0,bugs  insecthuman interactions university of alberta course beginner
395,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95000.0,build a modern computer from first principles from nand to tetris projectcentered course hebrew university of jerusalem course mixed
653,Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7300.0,building batch data pipelines on gcp google cloud course intermediate
670,Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22000.0,building conversational experiences with dialogflow google cloud course beginner
884,Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5800.0,building resilient streaming analytics systems on gcp google cloud course intermediate
610,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24000.0,building scalable java microservices with spring boot and spring cloud google cloud course intermediate
824,Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67000.0,building your leadership skills hec paris course mixed
17,Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280000.0,business analytics university of pennsylvania specialization beginner
611,Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38000.0,business english arizona state university specialization intermediate
168,Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120000.0,business english communication skills university of washington specialization intermediate
738,Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77000.0,business english networking university of washington course intermediate
7,Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510000.0,business foundations university of pennsylvania specialization beginner
410,Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13000.0,business model innovation hec paris course mixed
96,Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110000.0,business statistics and analysis rice university specialization beginner
126,Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24000.0,business strategies for a better world university of pennsylvania specialization beginner
104,Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89000.0,business strategy university of virginia specialization beginner
233,Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67000.0,business technology management indian school of business specialization beginner
478,Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10000.0,business transformation with google cloud google cloud course beginner
539,Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48000.0,business writing university of colorado boulder course beginner
23,Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160000.0,business and financial modeling university of pennsylvania specialization beginner
662,C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31000.0,c for everyone programming fundamentals university of california santa cruz course beginner
222,C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36000.0,c programming for unity game development university of colorado system specialization beginner
21,COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220000.0,covid contact tracing johns hopkins university course beginner
450,COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32000.0,covid what you need to know cme eligible osmosis course beginner
525,"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,130000.0,cameras exposure and photography michigan state university course mixed
107,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,340000.0,camino a la excelencia en gestin de proyectos pontificia universidad catlica de chile course beginner
536,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,82000.0,capstone retrieving processing and visualizing data with python university of michigan course mixed
44,Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790000.0,career success university of california irvine specialization beginner
736,Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31000.0,challenging forensic science how science should speak to court university of lausanne course beginner
718,Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23000.0,chemicals and health johns hopkins university course beginner
726,Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19000.0,chicken behaviour and welfare the university of edinburgh course mixed
161,Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30000.0,child nutrition and cooking stanford university course beginner
737,Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22000.0,chinese for hsk  peking university course beginner
95,Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57000.0,cisco networking basics cisco specialization beginner
848,Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51000.0,classical sociological theory university of amsterdam course mixed
197,Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51000.0,claves de la direccin de empresas iese business school specialization beginner
457,Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4800.0,climate change and health from science to action yale university specialization beginner
275,Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32000.0,clinical terminology for international and us students university of pittsburgh course beginner
349,Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110000.0,cloud computing university of illinois at urbanachampaign specialization intermediate
777,Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37000.0,cloud computing basics cloud  learnquest course beginner
9,Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310000.0,cloud engineering with google cloud google cloud professional certificate intermediate
276,Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37000.0,coaching skills for managers university of california davis specialization intermediate
655,Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,120000.0,code yourself an introduction to programming the university of edinburgh course beginner
709,Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15000.0,communication skills for engineers rice university specialization beginner
305,Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43000.0,communication strategies for a virtual age university of toronto course beginner
890,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6400.0,compassionate leadership through service learning with jane goodall and roots  shoots university of colorado boulder course beginner
406,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43000.0,competencias digitales herramientas de ofimtica microsoft word excel power point universitat autnoma de barcelona course beginner
474,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350000.0,competitive strategy and organization design ludwigmaximiliansuniversitt mnchen lmu specialization intermediate
391,Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5800.0,computational social science university of california davis specialization beginner
221,Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33000.0,computational thinking for problem solving university of pennsylvania course beginner
621,Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27000.0,computer security and systems management university of colorado system specialization beginner
439,Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66000.0,conflict management university of california irvine specialization beginner
728,Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19000.0,construction cost estimating and cost control columbia university course beginner
48,Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61000.0,construction management columbia university specialization beginner
290,Construction Project Management,Columbia University,COURSE,4.8,Beginner,43000.0,construction project management columbia university course beginner
794,Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15000.0,construction scheduling columbia university course beginner
300,Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220000.0,contabilidad para no contadores universidad nacional autnoma de mxico course beginner
273,Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27000.0,content strategy for professionals northwestern university specialization beginner
448,Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26000.0,continuous delivery  devops university of virginia course beginner
815,Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49000.0,control of mobile robots georgia institute of technology course mixed
207,Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240000.0,convolutional neural networks deeplearningai course intermediate
358,Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46000.0,convolutional neural networks in tensorflow deeplearningai course intermediate
725,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10000.0,corporate  commercial law i contracts  employment law university of illinois at urbanachampaign course intermediate
458,Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56000.0,corporate finance essentials iese business school course mixed
714,Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7800.0,corporate strategy ucl school of management course beginner
301,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10000.0,corporate sustainability understanding and seizing the strategic opportunity universit bocconi course mixed
691,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75000.0,correccin estilo y  variaciones de la lengua espaola universitat autnoma de barcelona course beginner
854,Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15000.0,cost and economics in pricing strategy university of virginia course beginner
544,Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43000.0,costos para los negocios universidad de chile course intermediate
179,Crash Course on Python,Google,COURSE,4.8,Beginner,81000.0,crash course on python google course beginner
463,Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140000.0,creative problem solving university of minnesota course mixed
59,Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140000.0,creative writing wesleyan university specialization beginner
371,Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120000.0,creative writing the craft of plot wesleyan university course mixed
793,"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150000.0,creatividad diseo e innovacin tcnicas y herramientas arizona state university specialization beginner
678,Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26000.0,cuidado de heridas en el mbito hospitalario universidad nacional autnoma de mxico course intermediate
730,Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22000.0,cuidados y procedimientos generales en la atencin del recin nacido universidad de chile course intermediate
248,Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17000.0,culturedriven team building university of pennsylvania specialization beginner
820,Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5500.0,curanderismo traditional healing using plants university of new mexico course beginner
566,Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18000.0,customer segmentation and prospecting northwestern university course beginner
372,Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99000.0,cybersecurity university of maryland college park specialization intermediate
821,Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140000.0,cybersecurity and its ten domains university system of georgia course beginner
497,Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23000.0,cybersecurity for business university of colorado system specialization beginner
800,Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55000.0,cmo hablar bien en pblico universitat autnoma de barcelona course beginner
764,Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23000.0,dairy production and management the pennsylvania state university course mixed
812,Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100000.0,data analysis and interpretation wesleyan university specialization beginner
39,Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220000.0,data analysis and presentation skills the pwc approach pwc specialization beginner
277,Data Analysis with Python,IBM,COURSE,4.7,Beginner,110000.0,data analysis with python ibm course beginner
605,Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24000.0,data analytics for lean six sigma university of amsterdam course beginner
783,Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19000.0,data collection and processing with python university of michigan course intermediate
679,Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3000.0,data engineering on google cloud platform  google cloud specialization intermediate
22,Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120000.0,data engineering with google cloud google cloud professional certificate intermediate
24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120000.0,data engineering big data and machine learning on gcp google cloud specialization intermediate
383,Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42000.0,data management for clinical research vanderbilt university course beginner
434,Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140000.0,data mining university of illinois at urbanachampaign specialization intermediate
13,Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830000.0,data science johns hopkins university specialization beginner
399,Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140000.0,data science math skills duke university course beginner
